the cougars	bn:01345595n
u	bn:03293097n,bn:03424141n,bn:02795950n,bn:02262965n,bn:00006924n,bn:00887256n,bn:02410893n,bn:15089824n,bn:00421028n,bn:03623381n,bn:00980810n,bn:01912424n,bn:03026227n,bn:02235091n,bn:02029366n,bn:15955189n,bn:00078844n,bn:00078843n,bn:02115589n,bn:03752592n,bn:01919126n,bn:03175529n,bn:15832443n
r e	
v	bn:16889051n,bn:00680603n,bn:01594018n,bn:03316300n,bn:00128369n,bn:14878068n,bn:00034359n,bn:00680439n,bn:03522294n,bn:17216863n,bn:03710878n,bn:00285863n,bn:01530398n,bn:02028951n,bn:00164232n,bn:16044072n,bn:02562042n,bn:01757339n,bn:03216497n,bn:02631879n,bn:00079432n,bn:03276732n,bn:15729504n,bn:16167131n,bn:01479930n,bn:00680402n,bn:01944276n,bn:03871608n,bn:15533918n,bn:02535651n,bn:02247584n,bn:16564589n,bn:14791578n,bn:03169312n,bn:03554207n,bn:00726613n,bn:00000119n,bn:02531580n,bn:03611053n,bn:03452384n,bn:00079431n,bn:15296227n,bn:03298369n,bn:00006853n,bn:01116661n,bn:03173823n
w	bn:15809738n,bn:02776665n,bn:03262636n,bn:03316233n,bn:00029054n,bn:02254353n,bn:00006906n,bn:03654777n,bn:03368010n,bn:02604698n,bn:03433111n,bn:01606761n,bn:02159206n,bn:02743148n,bn:01812737n,bn:00080293n,bn:02759292n,bn:03240761n,bn:01984040n,bn:16772830n,bn:00686478n,bn:00753787n,bn:00028359n,bn:01831949n
s f	
s e	
u f	bn:03437855n
u e	
commentary	bn:00020978n,bn:01332687n
r l	
u i	
reason	bn:02700917n,bn:00066443n,bn:02701023n,bn:00066444n,bn:03246303n,bn:00804729n,bn:02737565n,bn:03624731n,bn:00016851n,bn:01739786n,bn:02945561n,bn:15040423n,bn:00041881n,bn:00066262n,bn:03681168n,bn:01391320n,bn:00047021n
take responsibility	
the reasons	
accept responsibility	bn:01971660n
explanation	bn:00032329n,bn:00000741n,bn:00032328n,bn:00404975n
scapegoat	bn:16968493n,bn:14032675n,bn:01333907n,bn:00069508n,bn:15263748n,bn:00731164n
public support	bn:00063344n,bn:00036849n
taking responsibility	
preparation	bn:00064168n,bn:16149435n,bn:01125235n,bn:00064169n,bn:00034466n,bn:00035965n,bn:00022412n,bn:00064167n,bn:00062796n,bn:00044563n,bn:00041853n
impetus	bn:00028719n,bn:00046119n,bn:13920682n,bn:01013432n,bn:00382901n
expressed support	
implication	bn:00021927n,bn:00025800n,bn:00046129n,bn:00046128n,bn:00046130n,bn:00021653n
retribution	bn:01672455n,bn:03106451n,bn:15237214n,bn:00634066n,bn:00067265n,bn:00067473n,bn:03097281n,bn:00061113n,bn:01916317n,bn:00316191n,bn:14963237n,bn:02662751n,bn:00171782n,bn:15094345n,bn:02043888n,bn:03716304n,bn:00067427n
one reason	
liability	bn:00050921n,bn:00000751n,bn:00050920n,bn:00034540n
prerequisite	bn:00064181n
brace	bn:00012602n,bn:00012600n,bn:00012601n,bn:01637143n,bn:00012598n,bn:16756115n,bn:00012599n,bn:00012596n,bn:00000075n,bn:01437796n,bn:00010764n,bn:00012597n,bn:00073805n,bn:02027769n,bn:01613737n,bn:00052188n,bn:00012595n,bn:03720526n
the reason	bn:02360364n,bn:03362992n,bn:03433246n,bn:03744385n,bn:03764154n,bn:03433263n,bn:03531514n
the basis	
culprit	bn:02797711n,bn:00024341n,bn:03113992n
full responsibility	
catalyst	bn:03779043n,bn:00889843n,bn:03593784n,bn:00457179n,bn:00382679n,bn:03422854n,bn:00000634n,bn:00464052n,bn:03511740n,bn:00016662n,bn:00016661n,bn:01236843n,bn:02325739n,bn:01661252n,bn:00123216n,bn:00506835n,bn:01828456n,bn:10168866n
obligation	bn:00029239n,bn:00017370n,bn:14388943n,bn:00064699n,bn:00046381n,bn:00058469n,bn:00058468n,bn:01313363n
the inspiration	bn:02161995n,bn:03441909n
retaliation	bn:03841542n,bn:02769201n,bn:15833001n,bn:03753103n,bn:00061113n,bn:01130989n,bn:02710020n,bn:00067427n
paving the way	
clearing the way	
setting the stage	
the blame	
one thing	bn:03072607n,bn:03326665n,bn:02123755n,bn:02759014n
cleared the way	
motivation	bn:02135935n,bn:01410993n,bn:02490246n,bn:03557998n,bn:02258452n,bn:15076388n,bn:02361751n,bn:14445995n,bn:00601326n,bn:01240307n,bn:00056036n,bn:00056038n,bn:00056037n
pave the way	
real reason	
metaphor	bn:00054578n,bn:02305422n
motive	bn:16772927n,bn:00056023n,bn:00330998n,bn:00646885n,bn:03176705n,bn:00056025n,bn:00056024n,bn:00056037n
excuse	bn:00002715n,bn:00004961n,bn:00032162n,bn:00032166n
responsibility	bn:00029239n,bn:03184910n,bn:16956474n,bn:00067370n,bn:02172541n,bn:00064915n
groundwork	bn:00008786n,bn:00041941n,bn:00008782n
clear the way	
ripe	bn:00385130n,bn:00402331n,bn:01903647n,bn:03525157n,bn:00630161n
justification	bn:00048668n,bn:13911348n,bn:00048675n,bn:00048674n,bn:00048673n,bn:16385494n
the main reason	
one of the reasons	
set the stage	
took responsibility	
personal responsibility	bn:02757411n
rationale	bn:00064430n,bn:03727202n
timetable	bn:00077314n,bn:00077315n,bn:03747625n,bn:00069568n
paved the way	
the cause	
compensation	bn:00021331n,bn:00021330n,bn:01108840n,bn:00021239n,bn:00540295n,bn:00021329n,bn:03357190n,bn:03864137n,bn:02349357n
apology	bn:02213639n,bn:02209684n,bn:00004961n,bn:00004960n,bn:00004958n,bn:03039791n,bn:00839698n
the remaining	bn:15373912n
world-wide	bn:00045153n
long ago	bn:02298053n,bn:02045424n
six months ago	bn:03650378n
years ago	bn:15380546n,bn:02774941n
five years ago	
years later	bn:00367113n
back home	bn:01373190n,bn:03185173n,bn:00532805n,bn:16111466n,bn:03541297n,bn:03686466n,bn:03027347n,bn:00468105n,bn:01174414n
overseas	bn:15861045n,bn:10138964n,bn:01639104n,bn:02702889n
earlier in the day	
far	bn:01499843n,bn:03562603n,bn:01100056n,bn:00002754n,bn:00547730n,bn:00620712n
home and abroad	bn:03054430n
anywhere in the world	bn:02877018n
right away	bn:00397519n
worldwide	bn:01239313n,bn:02234512n,bn:03475616n,bn:01282120n,bn:03723013n,bn:17360329n
nationwide	bn:02377826n,bn:15216048n,bn:01903018n
four months ago	bn:00579061n
far away	bn:02785790n,bn:02618080n,bn:01965553n,bn:02264346n,bn:02584952n,bn:03190402n,bn:01990353n,bn:00344685n,bn:03880858n,bn:02407143n,bn:00998800n,bn:03420716n
forever	bn:02924652n,bn:03012753n,bn:02975107n,bn:03120766n,bn:03862136n,bn:03198932n,bn:10125083n,bn:16119048n,bn:01800709n,bn:01784028n,bn:03862924n,bn:01602884n,bn:03391047n,bn:01751857n,bn:16092474n,bn:02161093n,bn:01751748n,bn:03601063n,bn:14096981n,bn:03168870n,bn:02905395n,bn:03793176n,bn:02900292n,bn:16366147n,bn:00702812n,bn:16620209n,bn:00209059n,bn:01257437n,bn:15401880n,bn:02748043n,bn:00757946n,bn:02357838n,bn:00555181n,bn:01359714n,bn:01101379n,bn:01448695n,bn:14668087n,bn:02820893n,bn:12376483n,bn:00448578n,bn:00375950n,bn:02442588n,bn:00031687n,bn:02775886n,bn:00190470n,bn:01646676n,bn:02535506n,bn:00897137n,bn:03678174n,bn:14417729n,bn:01239062n,bn:00344479n,bn:14462742n,bn:03076927n,bn:03196162n,bn:02885707n,bn:15309851n,bn:16141155n,bn:01028242n,bn:00379792n,bn:01812800n,bn:01486907n,bn:01202264n,bn:14303679n,bn:02951176n,bn:16112308n,bn:00482461n
i know	bn:02990761n,bn:01595691n,bn:15262868n,bn:02658182n,bn:01654266n,bn:17229207n,bn:16118808n,bn:03166954n,bn:15255478n,bn:00667609n,bn:00338825n,bn:02291583n,bn:03640672n,bn:14739467n,bn:15473585n,bn:00731634n
i suppose	
note	bn:00058147n,bn:00058148n,bn:00056463n,bn:02332994n,bn:03684549n,bn:00010422n,bn:00027765n,bn:00008375n,bn:00054523n,bn:00004350n,bn:00058145n,bn:00000746n,bn:00058146n
they know	bn:02611637n,bn:00706875n
fact	bn:00725930n,bn:01825585n,bn:15043579n,bn:01885376n,bn:00053871n,bn:01886359n,bn:03243067n,bn:01310089n,bn:03677969n,bn:01319898n,bn:00032657n,bn:00032654n,bn:00032655n,bn:00032656n
make sure	
show	bn:03658382n,bn:02708940n,bn:00490235n,bn:00914636n,bn:02262273n,bn:03366312n,bn:00027670n,bn:00005028n,bn:00071315n,bn:00071316n,bn:00265980n,bn:00986369n,bn:14001570n
we know	
i believe	bn:01882894n,bn:14676699n,bn:01045196n,bn:01948801n,bn:03893190n,bn:01352426n,bn:14775741n,bn:01981851n,bn:03237519n,bn:02723519n,bn:00173882n,bn:03804499n,bn:02410160n,bn:15649902n,bn:00402168n,bn:00627679n,bn:17082938n,bn:01558862n,bn:00415829n,bn:14798110n,bn:15544856n,bn:03832248n,bn:03169282n,bn:02148875n,bn:01840261n,bn:02245220n,bn:01597956n,bn:00471347n,bn:17066075n,bn:01793084n,bn:03108546n,bn:14464350n
hope	bn:14483058n,bn:00044736n,bn:00427077n,bn:13964899n,bn:02469627n,bn:13854021n,bn:02941991n,bn:15688867n,bn:00044740n,bn:01446629n,bn:01249749n,bn:03567753n,bn:15424459n,bn:14605326n,bn:00426129n,bn:16078600n,bn:00044737n,bn:03860213n,bn:00232928n,bn:02608466n,bn:02890134n,bn:01663933n,bn:02355665n,bn:15335553n,bn:15211339n,bn:00273036n,bn:01014552n,bn:14302984n,bn:00921065n,bn:01999287n,bn:03192030n,bn:00244883n,bn:00044738n,bn:01109011n,bn:00227586n,bn:03685401n,bn:03793167n,bn:00174010n,bn:02784377n,bn:00810610n,bn:14606200n,bn:03332181n,bn:01141297n,bn:14535894n,bn:14363086n,bn:01865142n,bn:03664755n,bn:00257474n,bn:00292800n,bn:03367185n,bn:15570371n,bn:00696403n,bn:00559177n,bn:01647723n,bn:00044739n,bn:03790058n,bn:03769967n,bn:03624606n,bn:03634662n,bn:03857532n,bn:01894046n,bn:02449728n,bn:03524437n,bn:00557566n,bn:15984349n,bn:15860745n,bn:03828108n,bn:00011704n
i knew	
we think	
the view	bn:01311587n,bn:02807802n,bn:03503764n,bn:02055383n,bn:03005620n,bn:00700071n,bn:03386857n
they say	bn:01068185n
accusation	bn:00000785n,bn:00000784n
she said	bn:17156872n,bn:02619150n,bn:14171904n,bn:02001111n,bn:00620712n
the idea	bn:16460803n,bn:15595316n,bn:15674534n,bn:01361785n
she says	bn:00459629n,bn:01822411n,bn:02471010n
claim	bn:03729944n,bn:00019405n,bn:00019406n,bn:00019407n,bn:00014794n,bn:00019403n,bn:00019404n,bn:00016853n
assertion	bn:00006496n,bn:00001768n
i think people	
i understand	bn:00430116n,bn:00430186n
the possibility	
the claim	bn:01937366n,bn:01719002n
fear	bn:02351549n,bn:02941460n,bn:02850495n,bn:01049401n,bn:03129635n,bn:14507814n,bn:00033854n,bn:00016013n,bn:00447783n,bn:00514107n,bn:03419336n,bn:03234534n,bn:00007503n,bn:03806587n,bn:16568889n,bn:01824630n,bn:02945976n,bn:00314110n,bn:16347499n,bn:03001949n,bn:00967790n,bn:16470445n,bn:03813282n,bn:00450464n,bn:02896313n,bn:02232029n,bn:03443215n,bn:13860351n,bn:14358295n
we thought	
stress	bn:03624917n,bn:00074519n,bn:00074634n,bn:00074633n,bn:02131796n,bn:03057594n,bn:01976492n,bn:00156372n,bn:13805288n,bn:00035564n,bn:00000641n,bn:13823763n,bn:03466284n,bn:03837064n,bn:15380850n,bn:00062650n,bn:15884027n,bn:14661163n
reason to believe	bn:03669344n,bn:00697543n,bn:03886893n
i say	
the assumption	bn:00006562n
expressed hope	
i said	bn:01001743n
they said	
he knows	bn:01069889n
i think	
we believe	bn:00645858n,bn:02570132n,bn:03453534n
he says	
you know	bn:01032795n
people say	bn:02841523n
we knew	
i hope	bn:13937114n,bn:14718895n
guess	bn:03857006n,bn:00025524n,bn:03866173n,bn:00869937n,bn:00021870n
he said	bn:03669686n
say i	bn:17093852n,bn:03300739n
i thought	
the prospect	
said i	
making sure	
defeat	bn:00025855n,bn:00025856n
trail	bn:02380893n,bn:02758897n,bn:00050341n,bn:01325605n,bn:03719063n,bn:14748045n,bn:03098955n,bn:03149874n,bn:00077905n,bn:00077904n,bn:00462738n,bn:01100130n
face	bn:00016414n,bn:00714590n,bn:00032606n,bn:01612191n,bn:00011850n,bn:00032608n,bn:00032602n,bn:03097690n,bn:00032604n,bn:00032620n,bn:00032600n,bn:01845290n,bn:01858262n,bn:00639735n,bn:01907782n,bn:03293249n,bn:03442088n,bn:01396872n,bn:00032607n,bn:03361486n,bn:00032609n,bn:00032603n,bn:00032605n,bn:01893732n,bn:01662949n,bn:00032601n,bn:16964732n,bn:00006386n
next play	
blank	bn:00069806n,bn:01702050n,bn:00011113n,bn:02344065n,bn:00898565n,bn:00011111n,bn:03143035n,bn:17334268n,bn:00011112n,bn:00011110n,bn:00935153n
defending champion	
next plays	
beat	bn:03098523n,bn:00009398n,bn:00009401n,bn:00009399n,bn:00009400n,bn:16470220n,bn:00009403n,bn:00009402n,bn:00530891n,bn:03144920n,bn:00159810n,bn:00009396n,bn:00009397n,bn:00009394n,bn:00009395n,bn:02503576n,bn:03497467n,bn:00443141n,bn:00127446n,bn:00999800n,bn:00177315n,bn:02195859n,bn:02707056n
visit	bn:00835975n,bn:14194518n,bn:00080114n,bn:00080113n,bn:00080112n,bn:00080111n,bn:00259214n,bn:00072662n
plane	bn:00039226n,bn:01276497n,bn:00016196n,bn:00001697n,bn:12905704n,bn:01881471n,bn:03788133n,bn:16750414n,bn:00062768n,bn:02820519n,bn:00062775n,bn:00062767n,bn:00062766n,bn:00666486n,bn:00317175n,bn:02255530n,bn:01742217n
passenger plane	
the aircraft	
jet fighters	bn:01851983n,bn:00007002n
fokker	bn:03302603n
glider	bn:01799547n,bn:01343172n,bn:00040663n,bn:16407152n,bn:01726670n,bn:00773131n,bn:00248710n,bn:01126372n,bn:01467057n,bn:01081997n,bn:02836602n
the helicopter	
light aircraft	bn:02000198n
reconnaissance aircraft	bn:16458001n
airliner	bn:00002299n
jet	bn:01302978n,bn:00048167n,bn:00048165n,bn:03140227n,bn:16066559n,bn:00904098n,bn:02575622n,bn:00036078n,bn:00664886n,bn:03246253n,bn:15301925n,bn:00489770n,bn:01219214n,bn:03833852n,bn:00048166n,bn:03371238n,bn:00016632n,bn:00011524n,bn:03770463n,bn:01467092n,bn:00739724n,bn:01626209n,bn:02179717n,bn:10493824n,bn:01999540n,bn:03387701n
fighter aircraft	bn:00007002n
airlines flight	
fighter bombers	bn:03094503n
boeing 737	bn:00712018n
cargo aircraft	bn:01701601n
a320	bn:00890799n,bn:01781526n
attack aircraft	bn:00007002n
boeing 777	bn:15381173n,bn:03783144n
heavy bombers	bn:02797863n
passenger aircraft	bn:00002299n
military aircraft	bn:00054976n
jetliner	bn:00048175n
squadron	bn:03139712n,bn:00073704n,bn:00073702n,bn:00073703n,bn:03215645n
the plane	bn:00062766n
boeing	bn:01156257n
jet fighter	bn:00446764n,bn:00007002n
transport planes	
fighter jets	bn:00007002n
sortie	bn:00068960n,bn:01213566n,bn:00072861n
the airplane	
boeing 727	bn:03802910n
military plane	bn:00054976n
cargo planes	bn:01701601n
boeing 767	bn:03153185n
cessna	bn:03500104n
flight	bn:01309081n,bn:00035210n,bn:02429599n,bn:15258041n,bn:00035207n,bn:15350034n,bn:15810121n,bn:03543598n,bn:02645699n,bn:00035213n,bn:02389129n,bn:03815678n,bn:00035209n,bn:14585382n,bn:03442616n,bn:02905422n,bn:02727967n,bn:00233037n,bn:00989613n,bn:00002193n,bn:10838923n,bn:00035211n,bn:01743678n,bn:00031545n,bn:00803894n,bn:00035206n,bn:00035208n,bn:00035212n,bn:03615937n,bn:01743681n,bn:00025278n,bn:02236213n
flying boat	bn:14850415n,bn:00035514n
f-16	bn:00297123n
passenger jets	
bomber	bn:01866161n,bn:01308388n,bn:14541333n,bn:03089261n,bn:01693351n,bn:01546209n,bn:01739964n,bn:00011936n,bn:01342824n,bn:00668711n,bn:00011917n,bn:00011938n,bn:00011937n
transport aircraft	
interceptor	bn:03843181n,bn:00047059n,bn:14079477n,bn:00634581n
fighter planes	bn:00007002n
airlines plane	
helicopter	bn:00018734n,bn:14073320n,bn:02193897n,bn:03435365n,bn:03367462n
biplane	bn:03270056n,bn:00010591n
cargo plane	bn:01701601n
cockpit	bn:00020295n,bn:00371394n,bn:03010423n,bn:00147885n,bn:16180076n,bn:01556902n,bn:00020297n,bn:00020285n,bn:00020296n
transport plane	bn:01701601n
pilot	bn:02027922n,bn:03881602n,bn:01782895n,bn:02667381n,bn:02515392n,bn:02868227n,bn:02533987n,bn:02788777n,bn:01707689n,bn:00255930n,bn:00664886n,bn:00062430n,bn:02127114n,bn:01595714n,bn:02112771n,bn:02835516n,bn:14553385n,bn:00155575n,bn:03144451n,bn:16168195n,bn:02185498n,bn:00604933n,bn:03558496n,bn:00374360n,bn:01766141n,bn:00375159n,bn:03033552n,bn:01431475n,bn:02274419n,bn:03113233n,bn:00368944n,bn:00484725n,bn:02561192n,bn:03450220n,bn:02542573n,bn:01828263n,bn:03386282n,bn:00999039n,bn:00982510n,bn:03289345n,bn:01177099n,bn:02289438n,bn:01352422n,bn:03083182n,bn:01727762n,bn:03131446n,bn:02418794n,bn:03349973n,bn:16855491n,bn:00880814n,bn:01946191n,bn:02870986n,bn:03568871n,bn:15882485n,bn:02735672n,bn:03895495n,bn:17185551n,bn:15787284n,bn:14120024n,bn:03612462n,bn:00769386n,bn:02691934n,bn:00193353n,bn:03120852n,bn:00187447n,bn:02803032n,bn:03312443n,bn:02667668n,bn:03651752n,bn:00005418n,bn:02255212n,bn:00002306n,bn:02370927n,bn:16847765n,bn:02807649n,bn:02101086n,bn:02878931n,bn:17078794n,bn:02553415n,bn:02594478n,bn:02038446n,bn:02790249n,bn:01414095n,bn:02736667n,bn:03186093n,bn:00261249n,bn:02814812n,bn:02072567n,bn:00892740n,bn:03414980n,bn:16828060n,bn:00062422n,bn:02011911n,bn:02674283n,bn:03612644n,bn:01577744n,bn:02846458n,bn:01499852n,bn:14315436n,bn:00911213n,bn:03556102n,bn:02504594n,bn:02695239n,bn:00853356n,bn:10777453n,bn:03189620n,bn:15063772n,bn:15712114n,bn:02285723n,bn:00446703n,bn:00218150n,bn:03476377n,bn:01593227n,bn:01841532n,bn:03884451n,bn:02111813n,bn:00216723n,bn:14837552n,bn:02157486n,bn:16013512n,bn:01008814n,bn:02293008n,bn:02533941n,bn:17135458n,bn:00255280n,bn:17324790n,bn:02788697n,bn:01206398n,bn:02697123n,bn:14448755n,bn:03312597n,bn:03309275n,bn:14124052n,bn:02267120n,bn:00062424n,bn:02224023n,bn:02106435n,bn:15172092n,bn:01186804n,bn:00309756n,bn:00721380n,bn:00546052n,bn:01077954n,bn:02590959n,bn:02101108n,bn:14453948n,bn:15453409n,bn:01595721n,bn:02444116n,bn:00697777n,bn:02806746n,bn:01993810n,bn:02811350n,bn:01711478n,bn:00062423n,bn:03343373n,bn:01381215n,bn:17343884n,bn:16458404n,bn:01885481n,bn:16043900n,bn:03171576n,bn:01411151n,bn:16751847n,bn:02617128n,bn:00013672n,bn:03343852n,bn:01821727n,bn:16879813n,bn:01961051n,bn:02537176n,bn:01641851n,bn:00159036n,bn:03609742n,bn:02631396n,bn:03211362n,bn:02103381n,bn:02959421n,bn:01017950n,bn:01374241n,bn:02238564n,bn:01485703n,bn:01528000n,bn:02379164n,bn:03429967n,bn:00456162n,bn:02062861n,bn:02593536n,bn:01925320n,bn:00326842n,bn:02101092n,bn:03121413n,bn:03177037n,bn:02445860n,bn:03475389n,bn:02933492n,bn:01432317n,bn:01597574n,bn:01009094n,bn:03351244n,bn:03426160n,bn:03542989n,bn:01937321n,bn:02196849n,bn:02542816n,bn:15314443n,bn:02680697n,bn:02388591n,bn:01639828n,bn:01597507n,bn:01538215n,bn:00176191n,bn:03487004n,bn:02766337n,bn:02798417n,bn:17323115n,bn:03814362n,bn:14757254n,bn:00524147n,bn:03514028n,bn:01510907n,bn:02490416n,bn:03576940n,bn:02535984n,bn:16612778n,bn:00488151n,bn:01243592n,bn:03231875n,bn:02686861n,bn:00550534n,bn:01501500n,bn:01993729n,bn:02101252n,bn:01123810n,bn:00133853n,bn:02768840n,bn:01691022n,bn:02022090n,bn:02543793n,bn:00256096n,bn:01799684n,bn:03198924n,bn:14180001n,bn:15537461n,bn:00660686n,bn:00787290n,bn:02423398n,bn:02925123n,bn:03815981n,bn:16583032n,bn:01915958n,bn:03676856n,bn:00254805n,bn:02873514n,bn:15275613n,bn:03248775n,bn:01343356n,bn:03684567n,bn:02938128n,bn:02505927n,bn:00721512n,bn:02777188n,bn:03414002n,bn:00613579n,bn:14353369n,bn:03524991n,bn:03472185n,bn:02868222n,bn:02158537n,bn:14794078n,bn:03235091n,bn:03322846n,bn:02585197n,bn:00576823n,bn:02812607n,bn:17365892n,bn:02713057n,bn:03383511n,bn:13839549n,bn:00251668n,bn:14614525n,bn:01030375n,bn:03486051n,bn:03177776n,bn:01829736n,bn:00338382n,bn:02295651n,bn:03198251n,bn:03763775n,bn:03318741n,bn:02256116n,bn:01489860n,bn:03552480n,bn:15838972n,bn:01060007n,bn:00652166n,bn:16273978n,bn:15286082n,bn:03645803n,bn:00566785n,bn:03445273n,bn:03203988n,bn:15908737n,bn:02530637n,bn:02863757n,bn:02456246n,bn:03734063n,bn:01012532n,bn:03863882n,bn:17296596n,bn:00489013n,bn:00555689n,bn:14444106n,bn:01526996n,bn:01862953n,bn:01514937n,bn:01391741n,bn:01847349n,bn:02315188n,bn:02899010n,bn:03520264n,bn:02299006n,bn:16891387n,bn:01675862n,bn:03369430n,bn:02398405n
jumbo jet	bn:01844674n,bn:03034915n,bn:03034568n,bn:03226093n,bn:00048552n,bn:15512202n
aircraft	bn:00002275n,bn:13508481n
transport	bn:02696123n,bn:17158618n,bn:00022381n,bn:00120452n,bn:00076106n,bn:03304683n,bn:02872464n,bn:00078398n,bn:00078046n,bn:00022379n,bn:00029691n,bn:03897121n,bn:01225413n,bn:00071122n
prototype	bn:16230581n,bn:01413454n,bn:01083552n,bn:00161352n,bn:03593973n,bn:00728377n,bn:03001164n,bn:03593784n,bn:03167191n,bn:03544796n,bn:00031258n,bn:02007581n,bn:00391518n,bn:02877001n,bn:03391369n,bn:02549381n,bn:00872830n,bn:00367481n,bn:03781935n
gunship	bn:02464415n,bn:00426413n
fighter jet	bn:00007002n
airbus	bn:16731204n,bn:00002274n
transporter	bn:03871640n,bn:02228764n,bn:15185613n,bn:02553821n,bn:03730586n,bn:00022384n,bn:02335479n,bn:03219275n,bn:00078050n,bn:00015802n
airplane	bn:16750414n,bn:00002275n,bn:16549892n,bn:03686563n,bn:03580488n,bn:03231398n,bn:00001697n,bn:15346390n
passenger planes	
fighter	bn:00017612n,bn:01786401n,bn:00020858n,bn:02962505n,bn:00487091n,bn:02967700n,bn:02906275n,bn:03191771n,bn:17116755n,bn:00007002n,bn:00009186n
boeing 747	bn:03226093n
fighter plane	bn:00007002n
plane crashed	
turboprop	bn:00064764n
passenger jet	bn:00048175n
reconnaissance	bn:00066084n,bn:00066564n
combat aircraft	bn:00054976n
compartment	bn:00760256n,bn:00697947n,bn:00021306n,bn:16014489n,bn:00021305n,bn:01317330n,bn:03293898n,bn:01653144n
cabin	bn:00377982n,bn:00034123n,bn:02488526n,bn:00468508n,bn:00014439n,bn:00014438n,bn:00014437n,bn:00677768n
cockpit	bn:00020295n,bn:00371394n,bn:03010423n,bn:00147885n,bn:16180076n,bn:01556902n,bn:00020297n,bn:00020285n,bn:00020296n
def	bn:00076001n
the world number	
the little	bn:01603250n
shop	bn:00071215n,bn:00071217n,bn:15385545n,bn:00071216n,bn:03316575n
convenience stores	bn:00022327n
drugstore	bn:00004993n,bn:01551370n,bn:15134007n,bn:03262729n
supermarket	bn:03288916n,bn:00075277n,bn:00785389n
bookstore	bn:00012141n,bn:00012135n,bn:00012115n
library	bn:00050968n,bn:00050967n,bn:03580326n,bn:00026386n,bn:00950554n,bn:00073918n,bn:02243751n,bn:00050970n,bn:01011772n,bn:03473734n,bn:02437249n,bn:00050969n,bn:00179000n
bookshop	bn:00012141n
post office	bn:03304088n,bn:00063147n,bn:01427807n,bn:00051752n,bn:00063765n,bn:01644253n,bn:00195151n,bn:02996415n
outlet	bn:14061834n,bn:00059779n,bn:15323650n,bn:00054409n,bn:00030158n,bn:00032242n
shopping	bn:01967072n,bn:00071229n,bn:00071230n,bn:16696700n,bn:13846288n,bn:03268668n
